Method,Caltech101,LabelMe,SUN09,VOC2007,Avg,Worst
ERM,95.75971731448763,64.030131826742,64.63414634146342,71.25925925925925,73.92081368548808,64.030131826742
CORAL,92.93286219081273,60.451977401129945,65.39634146341463,68.14814814814815,71.73233230087637,60.451977401129945
GroupDRO,80.56537102473497,61.20527306967985,67.83536585365853,68.74074074074073,69.58668767220352,61.20527306967985
IRM,88.33922261484098,54.23728813559322,58.84146341463414,54.37037037037037,63.94708613385968,54.23728813559322
Mixup,74.91166077738515,63.465160075329564,63.109756097560975,69.62962962962963,67.77905164497633,63.109756097560975
DWA_CORAL_ANCHOR_ALIGNONLY,86.57243816254417,59.133709981167605,68.59756097560977,69.77777777777779,71.02037172427482,59.133709981167605
