Method,Art,Cartoon,Photo,Sketch,Avg,Worst
ERM,81.17359413202934,75.64102564102564,93.11377245508982,73.50318471337579,80.85789423538014,73.50318471337579
CORAL,78.239608801956,76.28205128205127,89.22155688622755,79.49044585987262,80.80841570752686,76.28205128205127
GroupDRO,77.75061124694376,76.49572649572649,88.92215568862275,75.54140127388536,79.67747367629458,75.54140127388536
IRM,43.03178484107579,60.470085470085465,71.25748502994011,57.19745222929936,57.989201892600185,43.03178484107579
Mixup,78.97310513447434,77.56410256410257,92.81437125748504,69.80891719745223,79.79012403837854,69.80891719745223
DWA_CORAL_v2,79.46210268948656,75.0,88.92215568862275,76.94267515923568,80.08173338433625,75.0
